# 3 3079
 0.00000000E+000  0.00000000E+000 -3.14159265E+000
 5.00000000E-003  0.00000000E+000 -3.14159265E+000
 1.00000000E-002  0.00000000E+000 -3.14159265E+000
 1.50000000E-002  0.00000000E+000 -3.14159265E+000
 2.00000000E-002  0.00000000E+000 -3.14159265E+000
 2.50000000E-002  6.09856000E-005 -3.14159265E+000
 3.00000000E-002  2.43942400E-004 -3.14159265E+000
 3.50000000E-002  6.09856000E-004 -3.14002186E+000
 4.00000000E-002  9.75769600E-004 -3.13845106E+000
 4.50000000E-002  1.52464000E-003 -3.13530947E+000
 5.00000000E-002  2.25646720E-003 -3.13216788E+000
 5.50000000E-002  2.86632320E-003 -3.12902628E+000
 6.00000000E-002  3.65913600E-003 -3.12588469E+000
 6.50000000E-002  4.51293440E-003 -3.12274310E+000
 7.00000000E-002  5.42771840E-003 -3.11803071E+000
 7.50000000E-002  6.40348800E-003 -3.11331832E+000
 8.00000000E-002  7.50122880E-003 -3.10703513E+000
 8.50000000E-002  8.59896960E-003 -3.10232275E+000
 9.00000000E-002  9.81868160E-003 -3.09603956E+000
 9.50000000E-002  1.09774080E-002 -3.09132717E+000
 1.00000000E-001  1.23190912E-002 -3.08504399E+000
 1.05000000E-001  1.35388032E-002 -3.07876080E+000
 1.10000000E-001  1.49414720E-002 -3.07404841E+000
 1.15000000E-001  1.62831552E-002 -3.06619443E+000
 1.20000000E-001  1.78077952E-002 -3.05991124E+000
 1.25000000E-001  1.92104640E-002 -3.05519886E+000
 1.30000000E-001  2.05521472E-002 -3.04891567E+000
 1.35000000E-001  2.19548160E-002 -3.04263248E+000
 1.40000000E-001  2.34184704E-002 -3.03634930E+000
 1.45000000E-001  2.48821248E-002 -3.03006611E+000
 1.50000000E-001  2.64067648E-002 -3.02535373E+000
 1.55000000E-001  2.79314048E-002 -3.01907054E+000
 1.60000000E-001  2.93950592E-002 -3.01435815E+000
 1.65000000E-001  3.08587136E-002 -3.00807497E+000
 1.70000000E-001  3.25053248E-002 -3.00179178E+000
 1.75000000E-001  3.38470080E-002 -2.99707939E+000
 1.80000000E-001  3.55546048E-002 -2.99236700E+000
 1.85000000E-001  3.68962880E-002 -2.98765461E+000
 1.90000000E-001  3.84209280E-002 -2.98294222E+000
 1.95000000E-001  3.99455680E-002 -2.97822984E+000
 2.00000000E-001  4.14702080E-002 -2.97351745E+000
 2.05000000E-001  4.31778048E-002 -2.96880506E+000
 2.10000000E-001  4.47024448E-002 -2.96566346E+000
 2.15000000E-001  4.60441280E-002 -2.96252187E+000
 2.20000000E-001  4.72638400E-002 -2.95938028E+000
 2.25000000E-001  4.83615808E-002 -2.95780948E+000
 2.30000000E-001  4.86665088E-002 -2.95623869E+000
 2.35000000E-001  4.89104512E-002 -2.96095108E+000
 2.40000000E-001  4.89104512E-002 -2.96566346E+000
 2.45000000E-001  4.84835520E-002 -2.97194665E+000
 2.50000000E-001  4.80566528E-002 -2.97980063E+000
